date,timestamp,NDVI,EVI,LST_day,LST_night,precip_7d,precip_15d,precip_30d,precip_60d,precip_90d,LST_range,LST_mean,NDVI_EVI_ratio,year,month,day_of_year,season,thermal_stress,NDVI_change,NDVI_rolling_mean_30d,ET_estimate,water_balance_7d,water_balance_15d,water_balance_30d,water_balance_60d,water_balance_90d
2017-01-01,1483228800000,0.7316365447645334,0.46513108504398826,26.55457587729491,,0.0,0.0,76.78289107452164,210.62451360142188,257.6812691547058,,,1.5729651174146404,2017,1,1,verano,0,0.03656025330639434,0.7133564181113363,0.0,0.0,0.0,76.78289107452164,210.62451360142188,257.6812691547058
2017-01-17,1484611200000,0.7168148093841641,0.5288116957046748,37.404621355873736,23.838721752630704,12.612547951935696,33.582438247829394,33.582438247829394,136.16078376646632,264.37140702617285,13.565899603243032,30.62167155425222,1.3555173981384185,2017,1,17,verano,1,-0.01482173538036935,0.7242256770743487,15.31083577712611,-94.56330248794707,-196.08009840906226,-425.74263506595395,-782.4893628611003,-1113.603812915177
2017-02-02,1485993600000,0.6939766692118435,0.5868854755238821,29.677995249003178,21.40737507423435,1.7763442726568925,79.8638356341411,115.60044468552584,184.3216534236809,304.90801772967006,8.27062017476883,25.542685161618763,1.182471735427823,2017,2,33,verano,0,-0.022838140172320553,0.7053957392980038,12.771342580809382,-87.62305379300878,-111.70630307799964,-267.53983273875565,-581.958901424882,-844.5128145431743
2017-02-18,1487376000000,0.6964372783575122,0.5074725036056672,31.520990073810164,,97.16504990940248,107.50753632863685,185.50949589577272,230.60811611875727,333.04956523173325,,,1.3723618541839762,2017,2,49,verano,0,0.002460609145668702,0.6952069737846779,0.0,97.16504990940248,107.50753632863685,185.50949589577272,230.60811611875727,333.04956523173325
2017-03-06,1488758400000,0.7377776194112157,0.5711741325188767,28.200469160940038,21.06503520828033,39.184489628371956,64.74638229657586,172.25391862521275,290.55111376175466,350.42103990793333,7.135433952659707,24.632752184610183,1.2916837190681316,2017,3,65,otoño,0,0.04134034105370343,0.717107448884364,12.316376092305092,-47.030143017763685,-119.99925908800051,-197.23736414394,-448.43145177655083,-758.0528083995248
2017-03-22,1490140800000,0.5328378637481971,0.381610435225248,23.130000000000052,,21.31982213922702,32.61731547650726,124.5031707006889,293.4252192509672,356.5212086370056,,,1.3962837969823598,2017,3,81,otoño,0,-0.20493975566301859,0.6353077415797064,0.0,21.31982213922702,32.61731547650726,124.5031707006889,293.4252192509672,356.5212086370056
2017-04-07,1491523200000,0.7484432255875115,0.4997261898701961,27.206613217952007,16.926143208619685,33.34006980026386,113.65415545768828,154.38974487984805,355.2098074756101,463.0278507691461,10.280470009332323,22.066378213285844,1.497703628617685,2017,4,97,otoño,0,0.21560536183931445,0.6406405446678543,11.033189106642922,-43.89225394623659,-51.84368114195557,-176.60592831943964,-306.7815389229653,-529.9591688287169
2017-04-23,1492905600000,0.7596648002036136,0.4981501145329598,23.58367438703659,12.170414015440773,9.05220409243467,30.800164493843322,144.45431995153163,272.0968896274683,433.8429219826714,11.413260371595818,17.877044201238682,1.524968584915915,2017,4,113,otoño,0,0.01122157461610207,0.7540540128955626,8.938522100619341,-53.51745061190072,-103.2776670154468,-123.70134306704861,-264.2144364096922,-370.6240670730693
2017-05-25,1495670400000,0.7235121744294558,0.4305535420378381,19.930992618987037,21.910000000000025,87.86838164721533,87.86838164721533,148.46427567187,284.800321677749,417.3246366408292,-1.9790073810129876,20.92049630949353,1.6804193285362485,2017,5,145,otoño,0,-0.03615262577415779,0.7415884873165347,10.460248154746765,14.646644563987977,-69.03534067398616,-165.34316897053296,-342.8145676070569,-524.0976972863796
2017-06-10,1497052800000,0.7283731908034274,0.4613697293628573,21.622133706625966,20.390103503860207,23.051671380010415,31.23085976172881,119.28808723621071,188.93618535330006,365.07389063455673,1.2320302027657597,21.00611860524309,1.5787156497970616,2017,6,161,invierno,0,0.004861016373971627,0.7259426826164417,10.503059302621544,-50.469743738340384,-126.31502977759435,-195.8036918424356,-441.24737280399256,-580.2014466013823
2017-06-26,1498435200000,0.693646916094002,0.4167723848307456,21.830972257571943,8.600000000000016,0.0,0.0,31.23085976172881,164.54504298532726,277.9492041276209,13.230972257571928,15.21548612878598,1.6643263253859086,2017,6,177,invierno,0,-0.034726274709425464,0.7110100534487147,7.60774306439299,-53.25420145075093,-114.11614596589484,-197.00143217006087,-291.9195408782521,-406.74767166774825
2017-07-12,1499817600000,0.6785906931365062,0.42237336048188684,21.480569271231033,19.365975226944972,5.316336896670948,10.392766148441059,10.392766148441059,129.68085338465175,199.32895150174105,2.1145940442860613,20.423272249088,1.6066095782004908,2017,7,193,invierno,0,-0.015056222957495757,0.6861188046152541,10.211636124544,-66.16511597513706,-142.78177571971895,-295.95631758787897,-483.0173140879883,-719.718299707219
2017-07-28,1501200000000,0.6029705947229996,0.4080977941800286,25.398921693391035,17.444266564859614,0.0,0.0,10.392766148441059,33.44443752845147,173.21026170434791,7.954655128531421,21.421594129125324,1.4775113362795318,2017,7,209,invierno,0,-0.07562009841350659,0.640780643929753,10.710797064562662,-74.97557945193864,-160.66195596843994,-310.9311457884388,-609.2033863453083,-790.7614741062918
2017-08-13,1502582400000,0.6097989734453212,0.37289968609485025,26.87460677017055,19.735042843810994,8.955201077948718,16.243054355405466,16.243054355405466,26.635820503846535,145.92390774005722,7.139563926359557,23.304824806990773,1.6352852010849184,2017,8,225,invierno,0,0.00682837872232156,0.6063847840841604,11.652412403495386,-72.61168574651899,-158.54313169702533,-333.3293177494561,-672.5089237058767,-902.7932085745275
2017-08-29,1503964800000,0.6155647153643844,0.415344133367269,31.08154831594129,22.38173665903115,0.0,6.318318531209196,26.613207740861366,37.00597388930241,60.05764526931283,8.69981165691014,26.73164248748622,1.482055923886488,2017,8,241,invierno,0,0.005765741919063205,0.6126818444048527,13.36582124374311,-93.56074870620176,-194.16900012493744,-374.3614295714319,-764.9433007352842,-1142.866266667567
2017-09-14,1505347200000,0.6117067956222955,0.41572352591838463,30.947839993212874,21.45188512768305,0.0,0.0,6.318318531209196,26.613207740861366,37.00597388930241,9.495954865529825,26.19986256044796,1.4714234005582492,2017,9,257,primavera,0,-0.0038579197420889333,0.6136357554933399,13.09993128022398,-91.69951896156786,-196.4989692033597,-386.67961987551024,-759.3826690725774,-1141.9878413308559
2017-09-30,1506729600000,0.6755159412912529,0.44634334436243334,29.953634512598644,20.89312547722069,29.53657103228065,29.53657103228065,29.53657103228065,48.86192549568525,61.46611566981295,9.060509035377954,25.423379994909666,1.5134412473763337,2017,9,273,primavera,0,0.06380914566895746,0.6436113684567741,12.711689997454833,-59.44525894990318,-161.13877892954184,-351.8141288913643,-713.8394743516047,-1082.585984101122
2017-10-16,1508112000000,0.6948663866972087,0.5776625095444132,29.42187240179861,18.341166539407833,8.766469191906156,17.23918296342751,46.77575399570815,48.88186017277786,73.3889617365695,11.080705862390776,23.881519470603223,1.20289125973221,2017,10,289,primavera,0,0.019350445405955763,0.6851911639942307,11.940759735301611,-74.81884895520513,-161.87221306609666,-311.4470380633402,-667.5637239453188,-1001.2794144405756
2017-11-01,1509494400000,0.6932228135242366,0.6371438675176816,26.850000000000023,21.818083491461117,19.215995517129915,53.32480299684617,70.50955194824004,99.99331265991263,119.33714008734357,5.031916508538906,24.33404174573057,1.0880144357515347,2017,11,305,primavera,0,-0.0016435731729720349,0.6940446001107227,12.167020872865285,-65.95315059292709,-129.1805100961331,-294.5010742377185,-630.0279397120045,-975.6947384705321
2017-11-17,1510876800000,0.734883845092289,0.621857788511299,31.53939796446437,20.516215283767508,12.323818459312568,36.89928957032852,90.22409256717472,136.89260223024112,136.89260223024112,11.023182680696863,26.02780662411594,1.181753572787106,2017,11,321,primavera,0,0.04166103156805234,0.7140533293082628,13.01390331205797,-78.77350472509322,-158.309260110541,-300.1930067945643,-643.9415964932371,-1034.358695854976
2017-12-03,1512259200000,0.7343242599032996,0.538362303842565,26.97764611078128,,31.63207252032279,39.41210156739319,82.90204623378719,150.88173912224534,183.00919498342813,,,1.3639938953157922,2017,12,337,verano,0,-0.0005595851889893533,0.7346040524977944,0.0,31.63207252032279,39.41210156739319,82.90204623378719,150.88173912224534,183.00919498342813
2017-12-19,1513641600000,0.7519883026550171,0.5886009415556874,28.735415217575742,,11.846531020683916,56.56456850596145,95.97667007335457,186.79607945121936,239.57376348938953,,,1.2775837957100449,2017,12,353,verano,0,0.017664042751717512,0.7431562812791583,0.0,11.846531020683916,56.56456850596145,95.97667007335457,186.79607945121936,239.57376348938953
2018-01-01,1514764800000,0.7292615490771085,0.6210829480765915,26.002556494738684,20.310251854407475,13.024373342070838,61.77919533599423,106.61556292962099,189.55786921851734,257.4918768223717,5.6923046403312085,23.15640417457308,1.1741754900211598,2018,1,1,verano,0,-0.022726753577908654,0.7406249258660629,11.57820208728654,-68.02304126893495,-111.89383597330387,-240.73049968897521,-505.13425601867505,-784.5463110334169
2018-01-17,1516147200000,0.727346963946869,0.4811179230636536,26.667807486631023,,40.75368057556639,96.95205555226198,158.7312508882562,243.05100769685714,339.8347277676255,,,1.5117820752409665,2018,1,17,verano,0,-0.0019145851302394545,0.7283042565119888,0.0,40.75368057556639,96.95205555226198,158.7312508882562,243.05100769685714,339.8347277676255
2018-02-02,1517529600000,0.7299225672350894,0.5562569865105623,30.877043352846364,22.127741579706495,45.73498558985971,53.89846843557421,120.60262288326743,257.7320709863043,340.61559606948606,8.74930177313987,26.50239246627643,1.3122015053014064,2018,2,33,verano,0,0.002575603288220374,0.7286347655909793,13.251196233138215,-47.02338804210779,-144.869475061499,-276.933264110879,-537.3397030019886,-851.9920649129532
2018-02-18,1518912000000,0.7320502078561127,0.5204341138542463,23.061285314329368,20.64997285144655,11.37127788536945,12.434424007020848,66.33289244259505,213.34754916469058,305.2876646558958,2.411312462882819,21.85562908288796,1.4066118683550848,2018,2,49,verano,0,0.00212764062102333,0.7309863875456011,10.92781454144398,-65.1234239047384,-151.48279411463884,-261.50154380072433,-442.32132332194817,-678.2156440740623
2018-03-06,1520294400000,0.48444679731908036,0.35606944090947656,27.310000000000002,21.516688724866402,19.393248011458663,27.95278361470804,40.3872076217289,149.76100679197677,278.0542689763256,5.7933112751336004,24.4133443624332,1.3605364042061576,2018,3,65,otoño,0,-0.2476034105370324,0.6082485025875966,12.2066721812166,-66.05345725705753,-155.14729910354097,-325.8129578147691,-582.6393240810193,-820.5462273331684
